top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected,config_name,seed
737,0.0049981011284722,0.6583333333333333,0.4313013288581614,0.6211363636363636,0.5449885423592659,0.3390963233199508,0.7,0.2499358974358974,0.28,0.4523809523809523,False,resnet18_384,2025
1475,0.0100029839409722,0.6666666666666666,0.4306041761629284,0.6226136363636363,0.5422313620020615,0.3588814527006462,0.7000000000000001,0.2184141583054626,0.28,0.4523809523809523,False,resnet18_384,2025
3686,0.0249972873263888,0.694047619047619,0.4556442608141869,0.6407954545454546,0.5557535355953301,0.4262772673908943,0.715,0.2250598086124401,0.3199999999999999,0.4634920634920635,False,resnet18_384,2025
7373,0.0500013563368055,0.7452380952380953,0.5155175539295405,0.6860227272727273,0.5952698565368192,0.5503565164627373,0.75,0.243229869545659,0.3199999999999999,0.4634920634920635,False,resnet18_384,2025
9216,0.0625,0.7595238095238095,0.5353146495253056,0.7025,0.612613142561101,0.6105383798353645,0.78,0.2622222222222222,0.3199999999999999,0.4634920634920635,False,resnet18_384,2025
14746,0.1000027126736111,0.8011904761904761,0.5904984964759561,0.7480681818181818,0.6577928543807005,0.7881153815346282,0.8200000000000001,0.295021645021645,0.3199999999999999,0.4634920634920635,False,resnet18_384,2025
29491,0.1999986436631944,0.8464285714285714,0.6635724791081934,0.7969318181818181,0.7190677457079864,1.1956579448011933,0.8800000000000001,0.4046503496503496,0.4,0.4968253968253968,False,resnet18_384,2025
49152,0.3333333333333333,0.8809523809523809,0.7710686329870677,0.8410227272727273,0.7959886709574572,1.5455286167763282,0.93,0.5968253968253969,0.6000000000000001,0.6726190476190477,False,resnet18_384,2025
73728,0.5,0.9035714285714288,0.8392621170760615,0.8605681818181818,0.835760215484729,1.8192581791223528,0.93,0.6000000000000001,0.64,0.6926190476190477,False,resnet18_384,2025
147456,1.0,0.9452380952380952,0.9142009412245348,0.91875,0.917377870356594,1.9524496855160405,0.96,0.8111111111111111,0.92,0.9266666666666664,True,resnet18_384,2025
1,6.781684027777777e-06,0.4499999999999999,0.3109140432737155,0.4925,0.5131079570893372,-0.2371809451123346,0.7000000000000001,0.2102953034760815,0.12,0.3805555555555555,False,deit_base_distilled_384,42
74,0.0005018446180555,0.4607142857142857,0.3129071274138664,0.5103409090909091,0.5164075712676413,-0.227820910772246,0.71,0.2029545454545454,0.0399999999999999,0.361031746031746,False,deit_base_distilled_384,42
147,0.0009969075520833,0.4535714285714285,0.3077763600648613,0.5014772727272727,0.5047435565752144,-0.2187664627759972,0.685,0.1870388669301713,0.0,0.3543650793650793,False,deit_base_distilled_384,42
369,0.00250244140625,0.4619047619047619,0.3123445915712683,0.5090909090909091,0.5109972485425378,-0.1721061818989709,0.69,0.1911111111111111,0.0,0.3543650793650793,False,deit_base_distilled_384,42
737,0.0049981011284722,0.4726190476190476,0.3172660639860825,0.5146590909090909,0.5127105426218075,-0.1113149450791987,0.69,0.191443887496519,0.0,0.3543650793650793,False,deit_base_distilled_384,42
1475,0.0100029839409722,0.4988095238095238,0.3323912974390114,0.5404545454545455,0.5389058170390145,-0.0016035607466493,0.72,0.2172175536881419,0.12,0.3805555555555555,False,deit_base_distilled_384,42
3686,0.0249972873263888,0.5678571428571428,0.3819114903538673,0.6021590909090908,0.5996546505111904,0.2262795824276468,0.775,0.2891798941798941,0.2799999999999999,0.4355555555555555,False,deit_base_distilled_384,42
7373,0.0500013563368055,0.6345238095238095,0.4355687867843087,0.6476136363636364,0.6396428929398243,0.4430922785389766,0.78,0.306060606060606,0.2799999999999999,0.4323809523809523,False,deit_base_distilled_384,42
9216,0.0625,0.6440476190476191,0.4420830563746274,0.6487499999999999,0.6366874075201157,0.5189397245833854,0.78,0.3183186705767351,0.32,0.4523809523809524,False,deit_base_distilled_384,42
14746,0.1000027126736111,0.7095238095238096,0.5273627841757476,0.7042045454545455,0.7100925078537014,0.6927046395678867,0.8,0.4799853372434018,0.48,0.6333333333333333,False,deit_base_distilled_384,42
29491,0.1999986436631944,0.7654761904761904,0.602763019582957,0.7421590909090908,0.7583581183908084,1.0057350368431417,0.8250000000000001,0.5645833333333334,0.64,0.7166666666666666,False,deit_base_distilled_384,42
49152,0.3333333333333333,0.8214285714285714,0.692689818376881,0.792840909090909,0.8070650624891427,1.267069430562462,0.865,0.7,0.7200000000000002,0.81,False,deit_base_distilled_384,42
73728,0.5,0.8583333333333334,0.7494892432502025,0.8362499999999999,0.8480755670255047,1.4865341149564557,0.89,0.75,0.7200000000000002,0.81,False,deit_base_distilled_384,42
